q,seq_len,p_clean,p_corrupt,top1_clean_id,top1_corrupt_id,top1_clean_tok,top1_corrupt_tok,y_clean,y_corrupt_non_tool,strict,TE
1,206,0.39996814727783203,0.01732555776834488,40,8420,I,Here,0,1,0,0.38264258950948715
2,247,0.9176638126373291,0.024100584909319878,151657,8420,<tool_call>,Here,1,1,1,0.8935632277280092
3,266,0.7764943838119507,0.009844804182648659,151657,8420,<tool_call>,Here,1,1,1,0.766649579629302
4,241,0.9683961272239685,0.1368180513381958,151657,8420,<tool_call>,Here,1,1,1,0.8315780758857727
5,254,0.9196350574493408,0.002342068590223789,151657,8420,<tool_call>,Here,1,1,1,0.917292988859117
6,268,0.952637255191803,0.37132808566093445,151657,151657,<tool_call>,<tool_call>,1,0,0,0.5813091695308685
7,233,0.9471945762634277,0.20540153980255127,151657,8420,<tool_call>,Here,1,1,1,0.7417930364608765
8,263,0.16102975606918335,0.00036786062992177904,40,1249,I,To,0,1,0,0.16066189543926157
9,232,0.9471656680107117,0.2261551320552826,151657,8420,<tool_call>,Here,1,1,1,0.7210105359554291
10,249,0.9340423345565796,0.1901995837688446,151657,8420,<tool_call>,Here,1,1,1,0.743842750787735
11,249,0.8247518539428711,0.015150408260524273,151657,8420,<tool_call>,Here,1,1,1,0.8096014456823468
12,191,0.9951272010803223,0.3673802316188812,151657,151657,<tool_call>,<tool_call>,1,0,0,0.627746969461441
13,233,0.9254646301269531,0.11901681870222092,151657,8420,<tool_call>,Here,1,1,1,0.8064478114247322
14,230,0.4222121238708496,0.013762017711997032,151657,8420,<tool_call>,Here,1,1,1,0.4084501061588526
15,212,0.8355073928833008,0.020703965798020363,151657,8420,<tool_call>,Here,1,1,1,0.8148034270852804
16,210,0.40746256709098816,0.006850088015198708,151657,8420,<tool_call>,Here,1,1,1,0.40061247907578945
17,213,0.7900488376617432,0.012289293110370636,151657,8420,<tool_call>,Here,1,1,1,0.7777595445513725
18,212,0.8398564457893372,0.059434086084365845,151657,8420,<tool_call>,Here,1,1,1,0.7804223597049713
19,323,0.4777396023273468,0.0026076233480125666,151657,8420,<tool_call>,Here,1,1,1,0.47513197897933424
20,216,0.9316315054893494,0.27517813444137573,151657,8420,<tool_call>,Here,1,1,1,0.6564533710479736
21,256,0.9354454874992371,0.010052886791527271,151657,8420,<tool_call>,Here,1,1,1,0.9253926007077098
22,268,0.519477367401123,0.00039552044472657144,151657,8420,<tool_call>,Here,1,1,1,0.5190818469563965
23,276,0.7998436093330383,0.013793367892503738,151657,8420,<tool_call>,Here,1,1,1,0.7860502414405346
24,220,0.9900515079498291,0.9270334839820862,151657,151657,<tool_call>,<tool_call>,1,0,0,0.06301802396774292
25,191,0.9911435842514038,0.20422685146331787,151657,8420,<tool_call>,Here,1,1,1,0.7869167327880859
26,209,0.8755691647529602,0.04000381380319595,151657,8420,<tool_call>,Here,1,1,1,0.8355653509497643
27,244,0.19991037249565125,0.0003760136023629457,40,8420,I,Here,0,1,0,0.1995343588932883
28,235,0.818146288394928,0.01997341960668564,151657,8420,<tool_call>,Here,1,1,1,0.7981728687882423
29,204,0.983580470085144,0.6484735608100891,151657,151657,<tool_call>,<tool_call>,1,0,0,0.33510690927505493
30,202,0.9472885727882385,0.08919407427310944,151657,8420,<tool_call>,Here,1,1,1,0.8580944985151291
31,227,0.9447011351585388,0.20172207057476044,151657,8420,<tool_call>,Here,1,1,1,0.7429790645837784
32,245,0.9589651226997375,0.03217574208974838,151657,8420,<tool_call>,Here,1,1,1,0.9267893806099892
33,198,0.6110720634460449,0.0006080065504647791,151657,8420,<tool_call>,Here,1,1,1,0.6104640568955801
34,238,0.9728206992149353,0.7645098567008972,151657,151657,<tool_call>,<tool_call>,1,0,0,0.20831084251403809
35,283,0.9893172383308411,0.9724589586257935,151657,151657,<tool_call>,<tool_call>,1,0,0,0.016858279705047607
36,233,0.9735335111618042,0.15779682993888855,151657,8420,<tool_call>,Here,1,1,1,0.8157366812229156
37,226,0.92743319272995,0.02721044048666954,151657,8420,<tool_call>,Here,1,1,1,0.9002227522432804
38,214,0.636121392250061,0.027764905244112015,151657,8420,<tool_call>,Here,1,1,1,0.608356487005949
39,256,0.9690409898757935,0.2118578404188156,151657,8420,<tool_call>,Here,1,1,1,0.7571831494569778
40,286,0.9970651268959045,0.9507730603218079,151657,151657,<tool_call>,<tool_call>,1,0,0,0.04629206657409668
41,240,0.7163887619972229,0.0019569573923945427,151657,8420,<tool_call>,Here,1,1,1,0.7144318046048284
42,307,0.0005118795670568943,3.4973427318618633e-06,40,785,I,The,0,1,0,0.0005083822243250324
43,246,0.9790621995925903,0.017027467489242554,151657,8420,<tool_call>,Here,1,1,1,0.9620347321033478
44,238,0.5522608757019043,0.0015250395517796278,151657,8420,<tool_call>,Here,1,1,1,0.5507358361501247
45,222,0.9639512896537781,0.23607464134693146,151657,8420,<tool_call>,Here,1,1,1,0.7278766483068466
46,202,0.9571815729141235,0.07355119287967682,151657,8420,<tool_call>,Here,1,1,1,0.8836303800344467
47,305,0.9173732995986938,0.5491318106651306,151657,151657,<tool_call>,<tool_call>,1,0,0,0.36824148893356323
